municipio_cod;lon;lat;alt
1100015;-61,99980;-11,9355000; 337,7357
1100023;-63,03330; -9,9085000; 138,6890
1100031;-60,54430;-13,4998000; 236,0632
1100049;-61,44290;-11,4339000; 177,4535
1100056;-60,81840;-13,1950000; 262,8113
1100064;-60,55510;-13,1306000; 419,0906
1100072;-60,94870;-12,9975000; 269,1712
1100080;-64,23170;-12,4360000; 145,2139
1100098;-61,02020;-11,5286000; 262,5272
1100106;-65,32400;-10,7739000; 133,4144
1100114;-62,47620;-10,4359000; 162,5513
1100122;-61,94510;-10,8821000; 157,2627
1100130;-61,99960; -9,4256000; 144,1991
1100148;-62,30820;-11,7213000; 259,4175
1100155;-62,26110;-10,7236000; 252,1676
1100189;-61,18370;-11,6775000; 186,1740
1100205;-63,83140; -8,7689000;  86,8954
1100254;-61,90940;-11,1732000; 178,2224
1100262;-62,90000; -9,7055000; 124,3222
1100288;-61,78580;-11,7223000; 226,7111
1100296;-61,77330;-11,9084000; 265,2342
1100304;-60,13860;-12,7414000; 595,0938
1100320;-62,72010;-11,6995000; 191,0826
1100338;-65,32910;-10,4118000; 150,9306
1100346;-62,27730;-11,3441000; 182,4001
1100379;-61,85310;-12,1318000; 396,5605
1100403;-63,31760; -9,7167000; 128,0001
1100452;-63,82970;-10,2098000; 153,1712
1100502;-61,99440;-11,7097000; 229,5117
1100601;-62,90320;-10,3389000; 161,0566
1100700;-63,62500;-10,5684000; 206,1489
1100809;-63,70000; -8,7850000;  84,7502
1100908;-61,94920;-11,4268000; 214,9954
1100924;-60,90180;-12,5568000; 340,2996
1100940;-62,58720; -9,3782000; 110,9599
1101005;-62,74050;-10,6121000; 201,7810
1101104;-63,18230; -9,1919000;  98,9511
1101203;-61,51890;-11,1962000; 266,2915
1101302;-62,66940;-11,0456000; 211,8156
1101401;-63,29560;-10,2631000; 155,4003
1101435;-62,55510;-10,9155000; 241,4937
1101450;-61,59800;-12,1798000; 296,2828
1101468;-61,04440;-13,4766000; 170,2555
1101476;-61,31650;-11,8257000; 244,5674
1101484;-61,51250;-11,9144000; 269,7268
1101492;-63,57090;-12,0638000; 165,6937
1101500;-63,03880;-11,7671000; 185,8309
1101559;-62,25590;-10,9322000; 191,3494
1101609;-62,34510;-10,2487000; 191,5985
1101708;-62,37060;-11,1285000; 197,1700
1101757;-62,17680; -9,8514000; 157,6654
1101807;-62,13440;-10,4311000; 153,9945
1200013;-67,05230;-10,0738000; 205,8940
1200054;-69,56350;-10,9429000; 234,8668
1200104;-68,74790;-11,0164000; 188,3241
1200138;-67,95190; -9,8200000; 198,1742
1200179;-67,67350;-10,5698000; 212,3033
1200203;-72,67250; -7,6307000; 183,0795
1200252;-68,74490;-11,0282000; 206,0361
1200302;-70,35400; -8,1602000; 159,8225
1200328;-71,95090; -9,1934000; 264,9779
1200336;-72,91650; -7,5932000; 187,0660
1200344;-69,25990; -8,8363000; 162,1338
1200351;-72,79030; -8,9536000; 214,9106
1200385;-67,18830;-10,3351000; 129,1895
1200393;-72,74230; -8,2667000; 201,8060
1200401;-67,81050; -9,9783000; 137,8657
1200427;-72,64790; -7,7336000; 189,5854
1200435;-70,48650; -9,4434000; 216,7242
1200450;-67,74320;-10,1482000; 207,9248
1200500;-68,65570; -9,0653000; 132,1330
1200609;-70,75550; -8,1557000; 172,1445
1200708;-68,50630;-10,6521000; 173,2816
1200807;-67,54060; -9,6009000; 134,3228
1300029;-64,81350; -3,2166000;  46,1160
1300060;-68,20960; -3,3668000;  73,4477
1300086;-61,40590; -3,5764000;  21,6137
1300102;-61,65900; -3,7454000;  20,3462
1300144;-59,88570; -7,1979000; 132,9811
1300201;-70,18800; -4,3662000;  76,0166
1300300;-59,13360; -3,5787000;  20,4916
1300409;-62,92570; -0,9728000;  35,3620
1300508;-57,06780; -2,7981000;  11,2346
1300607;-70,02730; -4,3750000;  69,8038
1300631;-61,37160; -3,8945000;  22,8620
1300680;-57,58770; -2,9717000;  23,0180
1300706;-67,39960; -8,7512000; 106,7660
1300805;-59,59460; -4,3906000;  29,0149
1300839;-61,21130; -3,3301000;  20,1668
1300904;-64,39420; -6,5291000;  52,0090
1301001;-66,89660; -4,8817000;  66,1580
1301100;-60,36380; -3,8224000;  25,1754
1301159;-59,82630; -3,1974000;  19,2286
1301209;-63,14220; -4,0842000;  37,9399
1301308;-62,06340; -3,8430000;  28,1554
1301407;-69,86630; -6,6674000; 122,1744
1301506;-70,03040; -7,4398000; 137,3963
1301605;-66,09650; -2,5123000;  58,1470
1301654;-72,58240; -7,5478000; 182,7512
1301704;-63,02670; -7,5122000;  55,0175
1301803;-71,69440; -7,0510000; 156,3280
1301852;-60,19340; -3,2811000;  43,2231
1301902;-58,44020; -3,1404000;  21,6594
1301951;-68,24790; -6,4378000; 112,6522
1302009;-58,03450; -2,7418000;  69,2687
1302108;-66,99690; -1,8808000;  69,8405
1302207;-66,06300; -3,4749000;  64,3792
1302306;-66,77130; -2,7446000;  62,1444
1302405;-64,79480; -7,2619000;  57,5073
1302504;-60,62060; -3,2983000;  26,9655
1302553;-60,45890; -3,4291000;  29,4811
1302603;-60,02330; -3,1347000;  34,3563
1302702;-61,29920; -5,8132000;  44,3463
1302801;-65,57430; -1,8664000;  47,1359
1302900;-57,71500; -3,3864000;  24,0589
1303007;-56,71680; -2,1890000;   1,0000
1303106;-59,09310; -3,8876000;  12,0731
1303205;-60,94880; -2,6234000;  21,7996
1303304;-60,37700; -5,1227000;  29,0636
1303403;-56,73630; -2,6271000;  17,3278
1303502;-67,00210; -7,7140000; 118,4583
1303536;-60,02560; -2,0584000;  58,2871
1303569;-59,70470; -2,6933000;  34,7373
1303601;-65,02000; -0,4167000;  34,1209
1303700;-67,94650; -3,1075000;  67,3579
1303809;-67,08360; -0,1365000;  61,5105
1303908;-68,94490; -3,4665000;  86,6232
1303957;-57,87030; -2,5702000;  16,9387
1304005;-58,21480; -2,8364000;  64,0177
1304062;-69,94620; -4,2319000;  63,0000
1304104;-63,18710; -5,6242000;  50,6534
1304203;-64,70840; -3,3484000;  46,5842
1304237;-67,77650; -2,8611000;  66,1023
1304260;-65,15530; -2,9836000;  42,5882
1304302;-57,75980; -2,5366000;  17,7088
1304401;-58,15960; -3,1346000;  23,0749
1400027;-61,42060;  3,6521000; 107,7174
1400050;-61,31400;  2,9938000; 121,7420
1400100;-60,67050;  2,8167000;  79,8282
1400159;-59,87800;  3,3503000;  86,6470
1400175;-60,60210;  2,6077000;  82,9828
1400209;-61,14920;  1,8039000;  49,5832
1400233;-59,69480;  0,8727000; 128,8348
1400282;-61,05230;  2,1682000;  80,6423
1400308;-60,91150;  2,4798000;  69,6286
1400407;-59,63520;  3,8830000; 102,7849
1400456;-61,14730;  4,4753000; 912,1299
1400472;-60,42510;  0,9372000;  83,7967
1400506;-59,90600;  0,9472000; 121,2456
1400605;-60,02830;  1,0181000; 116,3459
1400704;-60,19570;  4,5854000; 605,7996
